stop_id,stop_name,stop_code,platform_code,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,zone_id,stop_name_stem,town_name,street_name
404701,PKP WKD Al. Jerozolimskie,01,,52.20576,20.943216,0,,1,1,PKP WKD Al. Jerozolimskie,Warszawa,Al. Jerozolimskie
404702,PKP WKD Al. Jerozolimskie,02,,52.205798,20.94275,0,,1,1,PKP WKD Al. Jerozolimskie,Warszawa,Al. Jerozolimskie
404703,PKP WKD Al. Jerozolimskie,03,,52.205634,20.943471,0,,1,1,PKP WKD Al. Jerozolimskie,Warszawa,Al. Jerozolimskie
404704,PKP WKD Al. Jerozolimskie,04,,52.204802,20.943595,0,,1,1,PKP WKD Al. Jerozolimskie,Warszawa,Włodarzewska
405101,Berestecka,01,,52.212562,20.95348,0,,1,1,Berestecka,Warszawa,Al. Jerozolimskie
405102,Berestecka,02,,52.211903,20.951822,0,,1,1,Berestecka,Warszawa,Al. Jerozolimskie
405201,Pl. Starynkiewicza,01,,52.226023,20.994585,0,,1,1,Pl. Starynkiewicza,Warszawa,Al. Jerozolimskie
405202,Pl. Starynkiewicza,02,,52.226104,20.99359,0,,1,1,Pl. Starynkiewicza,Warszawa,Al. Jerozolimskie
405203,Pl. Starynkiewicza,03,,52.226281,20.995189,0,,1,1,Pl. Starynkiewicza,Warszawa,Al. Jerozolimskie
405204,Pl. Starynkiewicza,04,,52.226568,20.996387,0,,1,1,Pl. Starynkiewicza,Warszawa,Al. Jerozolimskie
405206,Pl. Starynkiewicza,06,,52.227547,20.995284,0,,1,1,Pl. Starynkiewicza,Warszawa,Żelazna
408101,Na Bateryjce,01,,52.213133,20.960807,0,,1,1,Na Bateryjce,Warszawa,al. Bohaterów Września
408201,Al. Bohaterów Września,01,,52.211254,20.960371,0,,1,1,Al. Bohaterów Września,Warszawa,Opaczewska
410601,Instalatorów,01,,52.200351,20.949028,0,,1,1,Instalatorów,Warszawa,Instalatorów
410602,Instalatorów,02,,52.200552,20.948335,0,,1,1,Instalatorów,Warszawa,Instalatorów
410603,Instalatorów,03,,52.20054,20.94777,0,,1,1,Instalatorów,Warszawa,Instalatorów
410701,Skorochód-Majewskiego,01,,52.205066,20.973884,0,,1,1,Skorochód-Majewskiego,Warszawa,Dickensa
410801,Banacha,01,,52.209911,20.980398,0,,1,1,Banacha,Warszawa,Pawińskiego
410802,Banacha,02,,52.209977,20.980293,0,,1,1,Banacha,Warszawa,Pawińskiego
410803,Banacha,03,,52.210189,20.98247,0,,1,1,Banacha,Warszawa,Banacha
410804,Banacha,04,,52.209772,20.981883,0,,1,1,Banacha,Warszawa,Banacha
410805,Banacha,05,,52.209815,20.981967,0,,1,1,Banacha,Warszawa,Banacha
410806,Banacha,06,,52.209854,20.981979,0,,1,1,Banacha,Warszawa,Banacha
410807,Banacha,07,,52.210395,20.984472,0,,1,1,Banacha,Warszawa,Banacha
