stop_id,stop_name,stop_code,platform_code,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,zone_id,stop_name_stem,town_name,street_name
410902,Siemieńskiego,02,,52.202292,20.97393,0,,1,1,Siemieńskiego,Warszawa,Pawińskiego
411201,Mołdawska,01,,52.201854,20.979279,0,,1,1,Mołdawska,Warszawa,Pruszkowska
411202,Mołdawska,02,,52.200269,20.978637,0,,1,1,Mołdawska,Warszawa,Korotyńskiego
411301,Wiślicka,01,,52.204008,20.975571,0,,1,1,Wiślicka,Warszawa,Pawińskiego
411302,Wiślicka,02,,52.204898,20.976254,0,,1,1,Wiślicka,Warszawa,Pawińskiego
411601,Hala Kopińska,01,,52.217204,20.978082,0,,1,1,Hala Kopińska,Warszawa,Kopińska
411602,Hala Kopińska,02,,52.218043,20.976372,0,,1,1,Hala Kopińska,Warszawa,Sokołowskiego „Grzymały”
411801,Opaczewska,01,,52.209905,20.970531,0,,1,1,Opaczewska,Warszawa,Białobrzeska
411804,Opaczewska,04,,52.210535,20.969488,0,,1,1,Opaczewska,Warszawa,Opaczewska
411852,Opaczewska,52,,52.209321,20.969919,0,,1,1,Opaczewska,Warszawa,Białobrzeska
411901,Szczęśliwice,01,,52.20808,20.963907,0,,1,1,Szczęśliwice,Warszawa,Dickensa
411902,Szczęśliwice,02,,52.207974,20.963822,0,,1,1,Szczęśliwice,Warszawa,Dickensa
411903,Szczęśliwice,03,,52.207886,20.963753,0,,1,1,Szczęśliwice,Warszawa,Dickensa
411904,Szczęśliwice,04,,52.207794,20.96367,0,,1,1,Szczęśliwice,Warszawa,Dickensa
411905,Szczęśliwice,05,,52.2077,20.963604,0,,1,1,Szczęśliwice,Warszawa,Dickensa
411907,Szczęśliwice,07,,52.209078,20.963953,0,,1,1,Szczęśliwice,Warszawa,Szczęśliwicka
411959,Szczęśliwice,59,,52.207963,20.965314,0,,1,1,Szczęśliwice,Warszawa,Dickensa
412001,Urbanistów,01,,52.207347,20.968261,0,,1,1,Urbanistów,Warszawa,Białobrzeska
412101,Wawelska,01,,52.216846,20.981885,0,,1,1,Wawelska,Warszawa,Grójecka
412103,Wawelska,03,,52.215975,20.980871,0,,1,1,Wawelska,Warszawa,Grójecka
412104,Wawelska,04,,52.216611,20.981362,0,,1,1,Wawelska,Warszawa,Grójecka
412105,Wawelska,05,,52.21596,20.982821,0,,1,1,Wawelska,Warszawa,Wawelska
412106,Wawelska,06,,52.216872,20.979869,0,,1,1,Wawelska,Warszawa,Kopińska
412201,Al. Wielkopolski,01,,52.216514,20.995427,0,,1,1,Al. Wielkopolski,Warszawa,Wawelska
412202,Al. Wielkopolski,02,,52.216876,20.996292,0,,1,1,Al. Wielkopolski,Warszawa,Wawelska
412601,CH Reduta,01,,52.211598,20.949379,0,,1,1,CH Reduta,Warszawa,Kołomyjska
412602,CH Reduta,02,,52.211665,20.950239,0,,1,1,CH Reduta,Warszawa,Kołomyjska
413701,Hale Banacha,01,,52.2086,20.974486,0,,1,1,Hale Banacha,Warszawa,Grójecka
413702,Hale Banacha,02,,52.208837,20.974627,0,,1,1,Hale Banacha,Warszawa,Grójecka
414001,Niemcewicza,01,,52.221266,20.983932,0,,1,1,Niemcewicza,Warszawa,Niemcewicza
415201,Lindleya,01,,52.22341,20.996509,0,,1,1,Lindleya,Warszawa,Koszykowa
415204,Lindleya,04,,52.223382,20.99862,0,,1,1,Lindleya,Warszawa,Koszykowa
415301,NIK,01,,52.218932,20.999097,0,,1,1,NIK,Warszawa,Filtrowa
415302,NIK,02,,52.218971,20.998607,0,,1,1,NIK,Warszawa,Filtrowa
415403,Szczęśliwicka,03,,52.212844,20.967357,0,,1,1,Szczęśliwicka,Warszawa,Szczęśliwicka
415404,Szczęśliwicka,04,,52.214961,20.969541,0,,1,1,Szczęśliwicka,Warszawa,Szczęśliwicka
415452,Szczęśliwicka,52,,52.213762,20.968958,0,,1,1,Szczęśliwicka,Warszawa,Bitwy Warszawskiej 1920 r.
415455,Szczęśliwicka,55,,52.214753,20.969192,0,,1,1,Szczęśliwicka,Warszawa,Szczęśliwicka
415456,Szczęśliwicka,56,,52.213148,20.967789,0,,1,1,Szczęśliwicka,Warszawa,Szczęśliwicka
415457,Szczęśliwicka,57,,52.214259,20.967288,0,,1,1,Szczęśliwicka,Warszawa,Bitwy Warszawskiej 1920 r.
431001,Harfowa,01,,52.201343,20.964091,0,,1,1,Harfowa,Warszawa,Harfowa
431002,Harfowa,02,,52.201696,20.964648,0,,1,1,Harfowa,Warszawa,Włodarzewska
431101,Przy Parku,01,,52.202001,20.95644,0,,1,1,Przy Parku,Warszawa,Włodarzewska
431102,Przy Parku,02,,52.20205,20.956333,0,,1,1,Przy Parku,Warszawa,Włodarzewska
431201,Maszynowa,01,,52.202811,20.949413,0,,1,1,Maszynowa,Warszawa,Włodarzewska
431202,Maszynowa,02,,52.202866,20.949305,0,,1,1,Maszynowa,Warszawa,Włodarzewska
433801,Dobosza,01,,52.211718,20.966379,0,,1,1,Dobosza,Warszawa,Szczęśliwicka
433802,Dobosza,02,,52.210195,20.965426,0,,1,1,Dobosza,Warszawa,Opaczewska
436401,Wschodu Słońca,01,,52.200507,20.942505,0,,1,1,Wschodu Słońca,Warszawa,Wschodu Słońca
436402,Wschodu Słońca,02,,52.200352,20.940523,0,,1,1,Wschodu Słońca,Warszawa,Wschodu Słońca
436901,Szybka,01,,52.20051,20.945428,0,,1,1,Szybka,Warszawa,Równoległa
436902,Szybka,02,,52.200776,20.944895,0,,1,1,Szybka,Warszawa,Szybka
440151,Przemyska,51,,52.211491,20.971953,0,,1,1,Przemyska,Warszawa,Białobrzeska
440152,Przemyska,52,,52.212109,20.972388,0,,1,1,Przemyska,Warszawa,Białobrzeska
